NC_000852	JF411744
NC_000855	Y18263
NC_000858	AF074966
NC_000866	AF158101
NC_000867	AF155037
NC_000869	AF141922
NC_000870	AF141897
NC_000871	AF115102
NC_000872	AF115103
NC_000874	AF157029
NC_000882	AF134484
NC_000883	AY386330
NC_000885	AF162131
NC_000898	AF157706
NC_000899	AF083975
NC_000903	AF147498
NC_000924	AF125520
NC_000929	AF083977
NC_000935	AF157835
NC_000936	AF192260
NC_000939	X87115
NC_000940	AF182760
NC_000943	AF161266
NC_000947	AB027007
NC_000960	AF188515
NC_001132	AF170726
NC_001265	X02986
NC_001266	AF170722
NC_001270	AF133242
NC_001271	AJ251805
NC_001317	U32222
NC_001330	X60322
NC_001331	X52107
NC_001332	X14336
NC_001335	Z18946
NC_001338	X07234
NC_001339	X62493
NC_001340	X17696
NC_001341	X58839
NC_001343	X52938
NC_001344	X60213
NC_001348	X04370
NC_001350	X64346
NC_001351	X06719
NC_001352	X55964
NC_001354	X56147
NC_001355	X00203
NC_001356	V01116
NC_001357	X05015
NC_001359	X70418
NC_001361	D14449
NC_001364	U04327
NC_001365	X51344
NC_001366	X56019
NC_001367	V01408
NC_001368	X51828
NC_001369	X70419
NC_001396	M57538
NC_001401	AF043303
NC_001402	M14008
NC_001403	AF033810
NC_001405	J01917
NC_001407	AF033808
NC_001408	M37980
NC_001409	M58152
NC_001410	J02020
NC_001411	X02396
NC_001412	M24597
NC_001413	M32690
NC_001414	AF033818
NC_001416	J02459
NC_001417	V00642
NC_001418	M11912
NC_001420	V00657
NC_001421	AY848689
NC_001422	J02482
NC_001423	M11813
NC_001426	X03869
NC_001427	M55918
NC_001430	D00820
NC_001434	L08816
NC_001437	M18370
NC_001440	D10538
NC_001441	D13747
NC_001442	D13942
NC_001445	D13751
NC_001447	L13696
NC_001451	M95169
NC_001452	L06906
NC_001454	L19443
NC_001457	X70827
NC_001458	X70828
NC_001460	X73487
NC_001461	M31182
NC_001462	J02049
NC_001463	M33677
NC_001464	J02053
NC_001465	M29963
NC_001466	M20021
NC_001467	J02057
NC_001468	J02058
NC_001469	M25270
NC_001471	M20731
NC_001472	M16560
NC_001474	U87411
NC_001477	U88536
NC_001478	M23022
NC_001479	M81861
NC_001480	J04374
NC_001482	M25381
NC_001483	M62730
NC_001484	K02715
NC_001486	M22056
NC_001488	M10060
NC_001489	M14707
NC_001490	K02121
NC_001491	AY665713
NC_001492	M57938
NC_001493	M75136
NC_001494	M80216
NC_001495	L00163
NC_001497	V00141
NC_001498	AB016162
NC_001501	AF033811
NC_001502	AF033813
NC_001503	AF033807
NC_001504	M29671
NC_001507	K02029
NC_001508	K02030
NC_001510	J02275
NC_001512	M20303
NC_001513	J04375
NC_001514	M23385
NC_001515	AF442959
NC_001517	M96425
NC_001522	X02346
NC_001523	M11910
NC_001524	M15953
NC_001526	K02718
NC_001531	M17463
NC_001538	V01108
NC_001539	M19296
NC_001541	K02708
NC_001542	M13215
NC_001543	M67473
NC_001544	M20162
NC_001545	M15240
NC_001547	J02363
NC_001549	M58410
NC_001550	AF033815
NC_001553	K00818
NC_001554	M21958
NC_001555	M11458
NC_001556	M34077
NC_001557	V01468
NC_001558	K00817
NC_001563	M12294
NC_001574	L14546
NC_001575	AJ608206
NC_001576	X74465
NC_001583	X74472
NC_001586	X74475
NC_001587	X74476
NC_001591	X74480
NC_001593	X74482
NC_001595	X74463
NC_001596	X74464
NC_001598	X73476
NC_001600	L16015
NC_001604	V01146
NC_001605	U01834
NC_001608	DQ217792
NC_001611	X69198
NC_001612	U05876
NC_001615	L32603
NC_001616	X12456
NC_001618	M10455
NC_001619	D55633
NC_001623	L22858
NC_001625	M23021
NC_001628	X80191
NC_001629	L33769
NC_001632	M95497
NC_001633	U07551
NC_001634	U13988
NC_001639	U15146
NC_001641	U01060
NC_001642	D26017
NC_001647	L39638
NC_001648	U59751
NC_001650	U20824
NC_001651	U21125
NC_001652	L40883
NC_001654	U21603
NC_001658	U23414
NC_001659	U18466
NC_001661	U16304
NC_001662	M20036
NC_001663	JX036360
